query,source,object_id,title,artist,filename,image_path,object_url,is_public_domain
german painting,met,206628,Eagle owl,Meissen Manufactory,artwork2_met_702_meissen-manufactory_eagle-owl.jpg,artworks/artwork2_met_702_meissen-manufactory_eagle-owl.jpg,https://www.metmuseum.org/art/collection/search/206628,True
german painting,met,203062,Two Opera Singers,Meissen Manufactory,artwork2_met_703_meissen-manufactory_two-opera-singers.jpg,artworks/artwork2_met_703_meissen-manufactory_two-opera-singers.jpg,https://www.metmuseum.org/art/collection/search/203062,True
german painting,met,383883,Tobias and the Angel (small plate),Hendrick Goudt,artwork2_met_704_hendrick-goudt_tobias-and-the-angel-small-plate.jpg,artworks/artwork2_met_704_hendrick-goudt_tobias-and-the-angel-small-plate.jpg,https://www.metmuseum.org/art/collection/search/383883,True
german painting,met,436045,"Johann I (1468–1532), the Constant, Elector of Saxony",Lucas Cranach the Elder and Workshop,artwork2_met_705_lucas-cranach-the-elder-and-workshop_johann-i-14681532-the-constant-elector-of-saxony.jpg,artworks/artwork2_met_705_lucas-cranach-the-elder-and-workshop_johann-i-14681532-the-constant-elector-of-saxony.jpg,https://www.metmuseum.org/art/collection/search/436045,True
antwerp master,met,436522,A Benedictine Monk,Hugo van der Goes,artwork2_met_706_hugo-van-der-goes_a-benedictine-monk.jpg,artworks/artwork2_met_706_hugo-van-der-goes_a-benedictine-monk.jpg,https://www.metmuseum.org/art/collection/search/436522,True
antwerp master,met,436797,The Holy Family,Joos van Cleve,artwork2_met_707_joos-van-cleve_the-holy-family.jpg,artworks/artwork2_met_707_joos-van-cleve_the-holy-family.jpg,https://www.metmuseum.org/art/collection/search/436797,True
antwerp master,met,228995,"The New Testament, The Book of Common Prayer",Robert Barker,artwork2_met_708_robert-barker_the-new-testament-the-book-of-common-prayer.jpg,artworks/artwork2_met_708_robert-barker_the-new-testament-the-book-of-common-prayer.jpg,https://www.metmuseum.org/art/collection/search/228995,True
antwerp master,met,436523,The Adoration of the Magi,Hugo van der Goes,artwork2_met_709_hugo-van-der-goes_the-adoration-of-the-magi.jpg,artworks/artwork2_met_709_hugo-van-der-goes_the-adoration-of-the-magi.jpg,https://www.metmuseum.org/art/collection/search/436523,True
antwerp master,met,435678,The Temptation of Saint Anthony,Herri met de Bles,artwork2_met_710_herri-met-de-bles_the-temptation-of-saint-anthony.jpg,artworks/artwork2_met_710_herri-met-de-bles_the-temptation-of-saint-anthony.jpg,https://www.metmuseum.org/art/collection/search/435678,True
portrait painting,met,437340,"Charles Maurice de Talleyrand Périgord (1754–1838), Prince de Talleyrand",Pierre Paul Prud'hon,artwork2_met_711_pierre-paul-prudhon_charles-maurice-de-talleyrand-périgord-17541838-pr.jpg,artworks/artwork2_met_711_pierre-paul-prudhon_charles-maurice-de-talleyrand-périgord-17541838-pr.jpg,https://www.metmuseum.org/art/collection/search/437340,True
