old_name,new_name
cma_141549_diego-velazquez-spanish-15991660_portrait-of-the-jester-calabazas.jpg,museum_cma_083_diego-velazquez-spanish-15991660_portrait-of-the-jester-calabazas.jpg
cma_129228_eugenio-lucas-velazquez-spanish-18171870_figures.jpg,museum_cma_084_eugenio-lucas-velazquez-spanish-18171870_figures.jpg
cma_152248_francisco-de-goya-spanish-17461828-diego-velazquez_aesop.jpg,museum_cma_085_francisco-de-goya-spanish-17461828-diego-velazquez_aesop.jpg
cma_147017_john-constable-british-17761837_branch-hill-pond-hampstead.jpg,museum_cma_086_john-constable-british-17761837_branch-hill-pond-hampstead.jpg
cma_95253_john-constable-british-17761837_hampstead-heath-looking-toward-harrow.jpg,museum_cma_087_john-constable-british-17761837_hampstead-heath-looking-toward-harrow.jpg
cma_111058_john-constable-british-17761837_landscape-with-trees-surrounding-a-pond.jpg,museum_cma_088_john-constable-british-17761837_landscape-with-trees-surrounding-a-pond.jpg
cma_119715_john-constable-british-17761837_landscape.jpg,museum_cma_089_john-constable-british-17761837_landscape.jpg
cma_114522_david-lucas-british-18021881-john-constable-britis_various-subjects-of-landscape-characteristic-of-english-scenery-from-pictures-painted-by-j.jpg,museum_cma_090_david-lucas-british-18021881-john-constable-britis_various-subjects-of-landscape-characteristic-of-english-scenery-from-pictures-painted-by-j.jpg
cma_114521_david-lucas-british-18021881-john-constable-britis_various-subjects-of-landscape-characteristic-of-english-scenery-from-pictures-painted-by-j.jpg,museum_cma_091_david-lucas-british-18021881-john-constable-britis_various-subjects-of-landscape-characteristic-of-english-scenery-from-pictures-painted-by-j.jpg
cma_153429_david-lucas-british-18021881-john-constable-britis_various-subjects-of-landscape-characteristic-of-english-scenery-from-pictures-painted-by-j.jpg,museum_cma_092_david-lucas-british-18021881-john-constable-britis_various-subjects-of-landscape-characteristic-of-english-scenery-from-pictures-painted-by-j.jpg
cma_153807_david-lucas-british-18021881-john-constable-britis_various-subjects-of-landscape-characteristic-of-english-scenery-from-pictures-painted-by-j.jpg,museum_cma_093_david-lucas-british-18021881-john-constable-britis_various-subjects-of-landscape-characteristic-of-english-scenery-from-pictures-painted-by-j.jpg
cma_153440_david-lucas-british-18021881-john-constable-britis_various-subjects-of-landscape-characteristic-of-english-scenery-from-pictures-painted-by-j.jpg,museum_cma_094_david-lucas-british-18021881-john-constable-britis_various-subjects-of-landscape-characteristic-of-english-scenery-from-pictures-painted-by-j.jpg
cma_153418_david-lucas-british-18021881-john-constable-britis_various-subjects-of-landscape-characteristic-of-english-scenery-from-pictures-painted-by-j.jpg,museum_cma_095_david-lucas-british-18021881-john-constable-britis_various-subjects-of-landscape-characteristic-of-english-scenery-from-pictures-painted-by-j.jpg
