query,source,object_id,title,artist,filename,image_path,object_url,is_public_domain
impressionism,met,544864,"Statuette of a hippo goddess, probably Taweret",,artwork2_met_006_unknown_statuette-of-a-hippo-goddess-probably-taweret.jpg,artworks/artwork2_met_006_unknown_statuette-of-a-hippo-goddess-probably-taweret.jpg,https://www.metmuseum.org/art/collection/search/544864,True
impressionism,met,448663,Bowl,,artwork2_met_007_unknown_bowl.jpg,artworks/artwork2_met_007_unknown_bowl.jpg,https://www.metmuseum.org/art/collection/search/448663,True
impressionism,met,551786,"Book of the Dead of the Priest of Horus, Imhotep (Imuthes)",,artwork2_met_008_unknown_book-of-the-dead-of-the-priest-of-horus-imhotep-im.jpg,artworks/artwork2_met_008_unknown_book-of-the-dead-of-the-priest-of-horus-imhotep-im.jpg,https://www.metmuseum.org/art/collection/search/551786,True
impressionism,met,472562,The Fieschi Morgan Staurotheke,,artwork2_met_009_unknown_the-fieschi-morgan-staurotheke.jpg,artworks/artwork2_met_009_unknown_the-fieschi-morgan-staurotheke.jpg,https://www.metmuseum.org/art/collection/search/472562,True
impressionism,met,729644,"In proof of true love, a watercarrier skeleton arguing with a woman (Posada); two skeleton angels in upper corners (Manilla)",José Guadalupe Posada,artwork2_met_010_josé-guadalupe-posada_in-proof-of-true-love-a-watercarrier-skeleton-argu.jpg,artworks/artwork2_met_010_josé-guadalupe-posada_in-proof-of-true-love-a-watercarrier-skeleton-argu.jpg,https://www.metmuseum.org/art/collection/search/729644,True
impressionism,met,200668,Sabine Houdon (1787–1836),Jean Antoine Houdon,artwork2_met_011_jean-antoine-houdon_sabine-houdon-17871836.jpg,artworks/artwork2_met_011_jean-antoine-houdon_sabine-houdon-17871836.jpg,https://www.metmuseum.org/art/collection/search/200668,True
impressionism,met,544320,Stela of the Steward Mentuwoser,,artwork2_met_012_unknown_stela-of-the-steward-mentuwoser.jpg,artworks/artwork2_met_012_unknown_stela-of-the-steward-mentuwoser.jpg,https://www.metmuseum.org/art/collection/search/544320,True
impressionism,met,590874,Tomb Chapel of Raemkai,,artwork2_met_013_unknown_tomb-chapel-of-raemkai.jpg,artworks/artwork2_met_013_unknown_tomb-chapel-of-raemkai.jpg,https://www.metmuseum.org/art/collection/search/590874,True
impressionism,met,437261,The Penitence of Saint Jerome,Joachim Patinir,artwork2_met_014_joachim-patinir_the-penitence-of-saint-jerome.jpg,artworks/artwork2_met_014_joachim-patinir_the-penitence-of-saint-jerome.jpg,https://www.metmuseum.org/art/collection/search/437261,True
impressionism,met,205107,The Composer André-Ernest-Modeste Grétry (1741–1813),Jean-Baptiste Stouf,artwork2_met_015_jean-baptiste-stouf_the-composer-andré-ernest-modeste-grétry-17411813.jpg,artworks/artwork2_met_015_jean-baptiste-stouf_the-composer-andré-ernest-modeste-grétry-17411813.jpg,https://www.metmuseum.org/art/collection/search/205107,True
impressionism,met,206965,Longcase astronomical regulator,Ferdinand Berthoud,artwork2_met_016_ferdinand-berthoud_longcase-astronomical-regulator.jpg,artworks/artwork2_met_016_ferdinand-berthoud_longcase-astronomical-regulator.jpg,https://www.metmuseum.org/art/collection/search/206965,True
impressionism,met,437422,Charity,Guido Reni,artwork2_met_017_guido-reni_charity.jpg,artworks/artwork2_met_017_guido-reni_charity.jpg,https://www.metmuseum.org/art/collection/search/437422,True
