old_name,new_name
cma_149378_rembrandt-van-rijn-dutch-16061669_shah-jahan.jpg,museum_cma_035_rembrandt-van-rijn-dutch-16061669_shah-jahan.jpg
cma_150069_paul-paulin-french-18521937_claude-monet.jpg,museum_cma_036_paul-paulin-french-18521937_claude-monet.jpg
cma_152265_george-hendrik-breitner-dutch-18571923_construction-site-in-amsterdam.jpg,museum_cma_037_george-hendrik-breitner-dutch-18571923_construction-site-in-amsterdam.jpg
cma_152506_katsushika-hokusai-japanese-17601849_poem-by-minamoto-no-muneyuki-from-the-series-one-hundred-poems-by-one-hundred-po.jpg,museum_cma_038_katsushika-hokusai-japanese-17601849_poem-by-minamoto-no-muneyuki-from-the-series-one-hundred-poems-by-one-hundred-po.jpg
cma_156284_édouard-baldus-french-18131889_church-at-auvers.jpg,museum_cma_039_edouard-baldus-french-18131889_church-at-auvers.jpg
cma_157104_johan-barthold-jongkind-dutch-18191891_the-seine-at-bas-meudon.jpg,museum_cma_040_johan-barthold-jongkind-dutch-18191891_the-seine-at-bas-meudon.jpg
cma_160065_rembrandt-van-rijn-dutch-16061669_woman-bathing-her-feet-in-a-brook.jpg,museum_cma_041_rembrandt-van-rijn-dutch-16061669_woman-bathing-her-feet-in-a-brook.jpg
cma_161179_rembrandt-van-rijn-dutch-16061669_the-presentation-in-the-temple.jpg,museum_cma_042_rembrandt-van-rijn-dutch-16061669_the-presentation-in-the-temple.jpg
cma_162193_rembrandt-van-rijn-dutch-16061669_the-blindness-of-tobit-the-large-plate.jpg,museum_cma_043_rembrandt-van-rijn-dutch-16061669_the-blindness-of-tobit-the-large-plate.jpg
cma_164752_rembrandt-van-rijn-dutch-16061669_ecce-homo-christ-presented-to-the-people.jpg,museum_cma_044_rembrandt-van-rijn-dutch-16061669_ecce-homo-christ-presented-to-the-people.jpg
cma_167911_édouard-baldus-french-18131889_saint-honorat-prés-darles.jpg,museum_cma_045_edouard-baldus-french-18131889_saint-honorat-pres-darles.jpg
cma_444535_frédéric-bazille-french-18411870_portrait-of-renoir.jpg,museum_cma_046_frederic-bazille-french-18411870_portrait-of-renoir.jpg
cma_452654_gustave-le-gray-french-18201884_view-of-ste-adrese-beach-with-the-dumont-baths.jpg,museum_cma_047_gustave-le-gray-french-18201884_view-of-ste-adrese-beach-with-the-dumont-baths.jpg
cma_665182_marie-bracquemond-french-18401916_architecture.jpg,museum_cma_048_marie-bracquemond-french-18401916_architecture.jpg
cma_665183_marie-bracquemond-french-18401916_self-portrait-in-a-spanish-costume.jpg,museum_cma_049_marie-bracquemond-french-18401916_self-portrait-in-a-spanish-costume.jpg
cma_676879_rembrandt-van-rijn-dutch-16061669_st-francis-beneath-a-tree-praying.jpg,museum_cma_050_rembrandt-van-rijn-dutch-16061669_st-francis-beneath-a-tree-praying.jpg
cma_79484_émile-bernard-french-18681941_the-nymphs.jpg,museum_cma_051_emile-bernard-french-18681941_the-nymphs.jpg
cma_92480_eugène-boudin-french-18241898_seascape-with-open-sky.jpg,museum_cma_052_eugene-boudin-french-18241898_seascape-with-open-sky.jpg
cma_95272_claude-monet-french-18401926_gardeners-house-at-antibes.jpg,museum_cma_053_claude-monet-french-18401926_gardeners-house-at-antibes.jpg
met_200668_jean-antoine-houdon_sabine-houdon-17871836.jpg,museum_met_001_jean-antoine-houdon_sabine-houdon-17871836.jpg
met_206965_ferdinand-berthoud_longcase-astronomical-regulator.jpg,museum_met_002_ferdinand-berthoud_longcase-astronomical-regulator.jpg
met_317877_northern-highlands-artist_processional-cross.jpg,museum_met_003_northern-highlands-artist_processional-cross.jpg
met_329077_unknown-artist_head-of-a-ruler.jpg,museum_met_004_unknown-artist_head-of-a-ruler.jpg
met_336327_vincent-van-gogh_corridor-in-the-asylum.jpg,museum_met_005_vincent-van-gogh_corridor-in-the-asylum.jpg
met_435711_léon-bonnat_an-egyptian-peasant-woman-and-her-child.jpg,museum_met_006_leon-bonnat_an-egyptian-peasant-woman-and-her-child.jpg
met_435817_hendrick-ter-brugghen_the-crucifixion-with-the-virgin-and-saint-john.jpg,museum_met_007_hendrick-ter-brugghen_the-crucifixion-with-the-virgin-and-saint-john.jpg
met_435882_paul-cézanne_still-life-with-apples-and-a-pot-of-primroses.jpg,museum_met_008_paul-cezanne_still-life-with-apples-and-a-pot-of-primroses.jpg
met_436524_vincent-van-gogh_sunflowers.jpg,museum_met_009_vincent-van-gogh_sunflowers.jpg
